symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2020-08-17 00:00:00+00:00,114.0459619292,115.5187104287,113.404147089,115.4938329203,117725656,458.43,0.0,464.35,455.8501,464.25,1.0,29431414
AAPL,2020-08-18 00:00:00+00:00,114.9962827515,115.4316391492,113.4489017267,113.7922113432,105633540,462.25,0.0,464.0,456.03,457.41,1.0,26408385
AAPL,2020-08-19 00:00:00+00:00,115.1405723005,116.5884432915,115.0435500176,115.4149712185,145538008,462.83,0.0,468.65,462.44,463.933,1.0,36384502
AAPL,2020-08-20 00:00:00+00:00,117.695492417,117.8119191565,115.1663205217,115.1828640648,126907188,473.1,0.0,473.568,462.9335,463.0,1.0,31726797
AAPL,2020-08-21 00:00:00+00:00,123.760628974,124.2561889421,118.665715246,118.6781540002,338054640,497.48,0.0,499.472,477.0,477.05,1.0,84513660
AAPL,2020-08-24 00:00:00+00:00,125.240840726,128.153996964,123.3290042026,128.0669256845,345937768,503.43,0.0,515.14,495.745,514.79,1.0,86484442
AAPL,2020-08-25 00:00:00+00:00,124.2133996276,124.5659636771,122.4495842793,124.0865243345,211495788,499.3,0.0,500.7172,492.21,498.79,1.0,52873947
AAPL,2020-08-26 00:00:00+00:00,125.9025824504,126.3702796091,124.4696379645,125.5608898721,163022268,506.09,0.0,507.97,500.33,504.7165,1.0,40755567
AAPL,2020-08-27 00:00:00+00:00,124.39749319,126.8603665253,123.2257625426,126.5195446597,155552384,500.04,0.0,509.94,495.33,508.57,1.0,38888096
AAPL,2020-08-28 00:00:00+00:00,124.1959853716,125.8229744234,123.967112294,125.3950812783,187629916,499.23,0.0,505.77,498.31,504.05,1.0,46907479
AAPL,2020-08-31 00:00:00+00:00,128.4077475501,130.3581442116,125.3826425241,126.9549010573,223505733,129.04,0.0,131.0,126.0,127.58,4.0,223505733
AAPL,2020-09-01 00:00:00+00:00,133.5225632848,134.139525494,129.8904470529,132.1095208056,152470142,134.18,0.0,134.8,130.53,132.76,1.0,152470142
AAPL,2020-09-02 00:00:00+00:00,130.7561843466,137.3039445673,126.3777428616,136.9158554356,200118991,131.4,0.0,137.98,127.0,137.59,1.0,200118991
AAPL,2020-09-03 00:00:00+00:00,120.2877287961,128.2087274826,119.9095906679,126.2881838312,257599640,120.88,0.0,128.84,120.5,126.91,1.0,257599640
AAPL,2020-09-04 00:00:00+00:00,120.3673368231,123.0939117479,110.3466764246,119.4816975228,332607163,120.96,0.0,123.7,110.89,120.07,1.0,332607163
AAPL,2020-09-08 00:00:00+00:00,112.2672200759,118.4069891583,112.1279060287,113.3916834573,231366563,112.82,0.0,118.99,112.68,113.95,1.0,231366563
AAPL,2020-09-09 00:00:00+00:00,116.7451715947,118.5562542089,114.6952648994,116.6854655744,176940455,117.32,0.0,119.14,115.26,117.26,1.0,176940455
AAPL,2020-09-10 00:00:00+00:00,112.9339373021,119.9095906679,111.948787968,119.7702766206,182274391,113.49,0.0,120.5,112.5,120.36,1.0,182274391
AAPL,2020-09-11 00:00:00+00:00,111.4512377992,114.6654118893,109.4610371242,114.0086456666,180860325,112.0,0.0,115.23,110.0,114.57,1.0,180860325
AAPL,2020-09-14 00:00:00+00:00,114.7897994315,115.3619821256,112.2473180692,114.1579107172,140150087,115.355,0.0,115.93,112.8,114.72,1.0,140150087
AAPL,2020-09-15 00:00:00+00:00,114.9738929939,118.2467780039,113.0533493426,117.7502229355,184642039,115.54,0.0,118.829,113.61,118.33,1.0,184642039
AAPL,2020-09-16 00:00:00+00:00,111.5806008431,115.4316391492,111.4910418127,114.6654118893,155026675,112.13,0.0,116.0,112.04,115.23,1.0,155026675
AAPL,2020-09-17 00:00:00+00:00,109.799371239,111.6502578667,108.1773576889,109.1824090297,178010968,110.34,0.0,112.2,108.71,109.72,1.0,178010968
AAPL,2020-09-18 00:00:00+00:00,106.3165200577,110.3367254212,105.5701948046,109.8590772592,287104882,106.84,0.0,110.88,106.09,110.4,1.0,287104882
AAPL,2020-09-21 00:00:00+00:00,109.5406451512,109.6501061883,102.5948447955,104.0277892815,195713815,110.08,0.0,110.19,103.1,104.54,1.0,195713815
AAPL,2020-09-22 00:00:00+00:00,111.2621687351,112.3070240894,108.6251528407,112.1279060287,183055373,111.81,0.0,112.86,109.16,112.68,1.0,183055373
AAPL,2020-09-23 00:00:00+00:00,106.5951481522,111.5606988363,106.2468630341,111.073099671,150718671,107.12,0.0,112.11,106.77,111.62,1.0,150718671
