Date,Price,Open,High,Low,Volume,Chg% 
"May 07, 2018","10,715.50","10,653.15","10,725.65","10,635.65",173.62M,0.92%
"May 04, 2018","10,618.25","10,700.45","10,700.45","10,601.60",192.30M,-0.57%
"May 03, 2018","10,679.65","10,720.15","10,720.60","10,647.45",190.87M,-0.36%
"May 02, 2018","10,718.05","10,783.85","10,784.65","10,689.80",236.76M,-0.20%
"Apr 30, 2018","10,739.35","10,705.75","10,759.00","10,704.60",179.16M,0.44%
"Apr 27, 2018","10,692.30","10,651.65","10,719.80","10,647.55",306.67M,0.70%
"Apr 26, 2018","10,617.80","10,586.50","10,628.40","10,559.65",345.54M,0.45%
"Apr 25, 2018","10,570.55","10,612.40","10,612.60","10,536.45",195.13M,-0.41%
"Apr 24, 2018","10,614.35","10,578.10","10,636.80","10,569.00",225.97M,0.28%
"Apr 23, 2018","10,584.70","10,592.80","10,638.35","10,514.95",200.20M,0.20%
"Apr 20, 2018","10,564.05","10,560.35","10,582.35","10,527.45",252.23M,-0.01%
"Apr 19, 2018","10,565.30","10,563.65","10,572.20","10,546.20",270.74M,0.37%
"Apr 18, 2018","10,526.20","10,578.90","10,594.20","10,509.70",211.82M,-0.21%
"Apr 17, 2018","10,548.70","10,557.30","10,560.45","10,495.65",212.45M,0.19%
"Apr 16, 2018","10,528.35","10,398.30","10,540.15","10,396.35",200.95M,0.46%
"Apr 13, 2018","10,480.60","10,495.30","10,519.90","10,451.45",219.72M,0.21%
"Apr 12, 2018","10,458.65","10,410.65","10,469.90","10,395.25",246.03M,0.40%
"Apr 11, 2018","10,417.15","10,428.15","10,428.15","10,355.60",258.08M,0.14%
"Apr 10, 2018","10,402.25","10,412.90","10,424.85","10,381.50",259.52M,0.22%
"Apr 09, 2018","10,379.35","10,333.70","10,397.70","10,328.50",228.51M,0.46%
"Apr 06, 2018","10,331.60","10,322.75","10,350.45","10,290.85",206.36M,0.06%
"Apr 05, 2018","10,325.15","10,228.45","10,331.80","10,227.45",244.12M,1.94%
"Apr 04, 2018","10,128.40","10,274.60","10,279.85","10,111.30",238.18M,-1.14%
"Apr 03, 2018","10,245.00","10,186.85","10,255.35","10,171.05",211.65M,0.33%
"Apr 02, 2018","10,211.80","10,151.65","10,220.10","10,127.75",232.43M,0.97%
"Mar 28, 2018","10,113.70","10,143.60","10,158.35","10,096.90",354.98M,-0.69%
"Mar 27, 2018","10,184.15","10,188.00","10,207.90","10,139.65",232.71M,0.53%
"Mar 26, 2018","10,130.65","9,989.15","10,143.50","9,958.55",270.66M,1.33%
"Mar 23, 2018","9,998.05","9,968.80","10,027.70","9,951.90",294.52M,-1.15%
"Mar 22, 2018","10,114.75","10,167.50","10,207.85","10,105.40",237.63M,-0.40%
"Mar 21, 2018","10,155.25","10,181.95","10,227.30","10,132.95",211.06M,0.31%
"Mar 20, 2018","10,124.35","10,051.55","10,155.65","10,049.10",209.33M,0.30%
"Mar 19, 2018","10,094.25","10,215.35","10,224.55","10,075.30",216.67M,-0.99%
"Mar 16, 2018","10,195.15","10,345.15","10,346.30","10,180.25",338.70M,-1.59%
"Mar 15, 2018","10,360.15","10,405.45","10,420.00","10,346.20",179.31M,-0.49%
"Mar 14, 2018","10,410.90","10,393.05","10,420.35","10,336.30",186.99M,-0.15%
"Mar 13, 2018","10,426.85","10,389.50","10,478.60","10,377.85",274.85M,0.05%
"Mar 12, 2018","10,421.40","10,301.60","10,433.65","10,295.45",223.14M,1.90%
"Mar 09, 2018","10,226.85","10,271.30","10,296.70","10,211.90",192.33M,-0.15%
